,lat,lon,ref
120,65,51,0.7876896
121,65,52,0.40948614
122,65,53,0.72166425
123,65,54,0.52618325
124,65,55,1.0994946
125,65,86,1.9425638
126,65,88,2.7472
127,65,89,1.9425638
128,65,90,1.6523145
129,65,91,2.7472
130,65,97,1.6176747
131,65,100,1.0441643
132,65,101,1.5860966
133,65,102,1.1586525
134,65,105,2.7472
135,65,106,2.7472
136,65,108,2.7472
137,65,112,2.6276
138,65,113,1.2245
139,65,127,3.1888
140,65,147,1.9425638
141,66,28,1.3490715
142,66,34,0.8134699
143,66,42,1.0179498
144,66,43,0.5515576
145,66,44,1.3340882
146,66,45,0.38567927
147,66,47,0.6359497
148,66,48,0.78922355
149,66,49,0.6205593
150,66,50,0.5959896
151,66,51,1.3140568
152,66,52,0.92843276
153,66,53,0.5070115
154,66,54,0.89948905
155,66,55,0.8069378
156,66,86,0.8468473
157,66,87,1.7031237
158,66,88,0.9265887
159,66,89,0.8386444
160,66,90,1.717212
161,66,91,1.3379668
162,66,92,1.1669797
163,66,93,2.7472
164,66,94,1.6181417
165,66,96,0.8695527
166,66,98,1.1570036
167,66,101,1.078842
168,66,102,1.3812464
169,66,103,1.1215397
170,66,104,0.9870843
171,66,110,0.7226933
172,67,28,0.8872615
173,67,29,1.3111622
174,67,33,1.9425638
175,67,34,0.5692328
176,67,36,1.1946107
177,67,41,0.7143868
178,67,42,2.7472
179,67,43,0.34438083
180,67,44,0.6279791
181,67,45,1.4833667
182,67,46,0.69836074
183,67,47,0.6286329
184,67,49,0.528711
185,67,50,0.39902687
186,67,51,0.3866298
187,67,52,0.47248682
188,67,53,0.32354322
189,67,54,0.3531554
190,67,55,0.60742956
191,67,56,0.702734
192,67,57,1.0091437
193,67,58,1.0029761
194,67,87,1.696055
195,67,89,1.9425638
196,67,90,1.4589057
197,67,91,0.8492533
198,67,92,0.7271928
199,67,93,0.5521598
200,67,94,1.2441646
201,67,95,1.2756917
202,67,96,1.9910467
203,67,97,2.4600086
204,67,100,2.0376709
205,67,101,1.558654
206,67,103,1.3954873
207,68,28,1.423304
208,68,33,0.9521
209,68,34,1.3023427
210,68,40,0.84429157
211,68,41,0.8003122
212,68,42,0.33965924
213,68,43,0.38754034
214,68,44,1.3967867
215,68,45,0.71922654
216,68,46,0.691712
217,68,47,0.45539057
218,68,49,0.5362532
219,68,50,0.5529727
220,68,51,1.31649
221,68,52,0.71627134
222,68,53,0.43436405
223,68,54,0.30183157
224,68,55,0.6289718
225,68,57,0.81491613
226,68,58,0.71620494
227,68,59,1.0069097
228,68,63,0.720995
229,68,88,1.8744806
230,68,89,0.9966557
231,68,92,2.2488291
232,68,93,0.71134156
233,68,94,0.7407061
234,68,95,1.8117461
235,68,96,0.68765
236,68,97,2.3214
237,68,98,1.4936708
238,68,99,1.5305071
239,68,101,1.8316973
240,68,102,1.2235961
241,68,106,1.9007492
242,68,113,1.4031
243,68,120,1.275434
244,68,140,3.2653
245,69,28,0.89117193
246,69,29,2.7472
247,69,30,1.019
248,69,33,1.9425638
249,69,39,1.3022512
250,69,40,0.6925007
251,69,43,0.8398765
252,69,44,0.6656029
253,69,45,0.7768078
254,69,46,1.4759326
255,69,47,1.3137809
256,69,49,0.6701309
257,69,50,0.73962206
258,69,52,1.3789586
259,69,53,0.99914765
260,69,54,0.8097416
261,69,56,1.3044324
262,69,57,0.50923634
263,69,60,0.99764264
264,69,61,1.8387815
265,69,62,0.957735
266,69,88,1.5492586
267,69,89,1.9095842
268,69,90,1.131467
269,69,91,1.2345247
270,69,92,1.255006
271,69,93,1.5086092
272,69,94,2.470596
273,69,95,2.5025213
274,69,96,1.8744806
275,69,97,0.6244129
276,69,98,1.179499
277,69,99,0.8597766
278,69,100,0.7967211
279,69,101,1.1073837
280,69,102,1.1702905
281,69,104,2.5992463
282,69,105,1.6733878
283,69,108,3.6735
284,69,114,1.9425638
285,69,127,2.6786
286,69,133,3.5714
287,69,134,1.7725816
288,69,135,1.400305
289,69,139,1.1149096
290,69,141,2.7935064
291,70,26,1.5553
292,70,29,0.83594066
293,70,31,0.7338788
294,70,32,1.3096461
295,70,36,0.99710673
296,70,40,0.68687826
297,70,42,1.3025163
298,70,43,0.73
299,70,44,1.0303212
300,70,56,0.75564855
301,70,61,1.024444
302,70,62,1.310908
303,70,87,1.7764546
304,70,88,1.3475101
305,70,89,2.7472
306,70,90,0.96512204
307,70,92,0.97854114
308,70,93,1.638279
309,70,94,1.4286
310,70,95,1.3658472
311,70,98,1.5860966
312,70,99,1.4208603
313,70,100,1.0086635
314,70,101,1.1780211
315,70,102,0.69723547
316,70,103,1.6977832
317,70,104,1.2397504
318,70,107,1.5928339
