lat, lon, map_anm_mean, map_se_mean, map_tstat,map_sig, map_sig_val,map_npts,p
43,-85,41.8189,33.6495,1.2428,0,0,11,0.018913578
45,-85,-65.7317,33.056,-1.9885,0,0,12,0.019252955
47,-85,-133.5104,24.1351,-5.5318,-1,-133.5104,24,0.026362263
49,-85,47.6667,72.083,0.6613,0,0,3,0.008831194
53,-85,-214.6333,54.3067,-3.9522,-1,-214.6333,4,0.01172135
55,-85,-1.0125,56.0741,-0.0181,0,0,4,0.011351984
73,-85,274,148.385,1.8465,0,0,1,0.004290259
31,-83,30.2659,36.8736,0.8208,0,0,10,0.01726069
41,-83,24.3664,29.9723,0.813,0,0,15,0.021232395
43,-83,64.5966,41.0204,1.5747,0,0,9,0.015516516
27,-81,69.9354,33.2856,2.1011,1,69.9354,9,0.01912023
29,-81,-22.0084,42.7233,-0.5151,0,0,7,0.014898277
35,-81,230,148.385,1.55,0,0,1,0.004290259
37,-81,392.2775,64.6448,6.0682,1,392.2775,4,0.00984718
39,-81,22.07,70.8272,0.3116,0,0,3,0.008987754
41,-81,-25.4139,47.9037,-0.5305,0,0,7,0.013287644
43,-81,27.7276,33.6488,0.824,0,0,16,0.018913972
45,-81,-84.4007,28.4229,-2.9695,-1,-84.4007,16,0.022388894
47,-81,-72.2348,27.7545,-2.6026,-1,-72.2348,17,0.022927616
49,-81,-83.2728,33.4204,-2.4917,-1,-83.2728,9,0.019043156
33,-79,-29.6667,73.504,-0.4036,0,0,3,0.008660488
35,-79,149.14,52.54,2.8386,1,149.14,1,0.012115396
37,-79,-33.47,60.7,-0.5514,0,0,5,0.010487021
39,-79,-20.717,45.9407,-0.451,0,0,8,0.013855236
43,-79,-14.5699,32.882,-0.4431,0,0,14,0.019354772
45,-79,-95.1025,21.5268,-4.4179,-1,-95.1025,32,0.029552113
47,-79,-179.0208,28.254,-6.3361,-1,-179.0208,17,0.022522621
49,-79,-153.627,37.5771,-4.0883,-1,-153.627,8,0.016937697
37,-77,-141.6927,55.8449,-2.5373,-1,-141.6927,6,0.011398565
39,-77,-37.7267,70.4315,-0.5357,0,0,3,0.009038243
41,-77,-0.7056,42.5126,-0.0166,0,0,8,0.014972088
43,-77,-81.577,70.3466,-1.1596,0,0,3,0.009049149
45,-77,-52.3053,20.7568,-2.5199,-1,-52.3053,29,0.030646724
47,-77,4.7367,70.1392,0.0675,0,0,3,0.009075904
53,-77,71.3908,56.2243,1.2697,0,0,4,0.011321664
55,-77,-30.9163,30.5837,-1.0109,0,0,12,0.020808243
57,-77,-12.8613,69.9638,-0.1838,0,0,3,0.009098654
41,-75,-105.3121,21.6934,-4.8546,-1,-105.3121,29,0.029325483
43,-75,-151.3298,50.9973,-2.9674,-1,-151.3298,6,0.012481802
45,-75,-153.1451,26.9494,-5.6827,-1,-153.1451,15,0.023611948
47,-75,-154.2272,37.7282,-4.0879,-1,-154.2272,8,0.016869894
49,-75,-119.1643,74.9189,-1.5906,0,0,3,0.008496948
57,-75,-5.6603,41.0803,-0.1378,0,0,9,0.0154939
59,-75,-113.8555,1000.5737,-0.1138,0,0,10,0.000636255
41,-73,-94.6585,38.2841,-2.4725,-1,-94.6585,8,0.016625049
43,-73,-76.7157,27.5713,-2.7825,-1,-76.7157,20,0.023079827
45,-73,-112.7346,17.2666,-6.5291,-1,-112.7346,42,0.036828873
