lat, lon, gdd5_anm_mean, gdd5_se_mean, gdd5_tstat,gdd5_sig, gdd5_sig_val,gdd5_npts
   41.000000,   -81.000000,      -100.6215,        48.9289,        -2.0565,        -1.0000,      -100.6215,     2
   43.000000,   -81.000000,        49.0193,        41.5136,         1.1808,         0.0000,         0.0000,     3
   45.000000,   -81.000000,        81.2820,        30.0446,         2.7054,         1.0000,        81.2820,     4
   47.000000,   -81.000000,       193.5770,        29.6665,         6.5251,         1.0000,       193.5770,     5
   49.000000,   -81.000000,       250.7070,        32.9020,         7.6198,         1.0000,       250.7070,     2
   33.000000,   -79.000000,       224.9710,       315.2473,         0.7136,         0.0000,         0.0000,     1
   39.000000,   -79.000000,      -190.6860,       173.6656,        -1.0980,         0.0000,         0.0000,     1
   43.000000,   -79.000000,       -50.3000,        33.6629,        -1.4942,         0.0000,         0.0000,     4
   45.000000,   -79.000000,       -10.3857,        14.8112,        -0.7012,         0.0000,         0.0000,     7
   47.000000,   -79.000000,       104.0928,        30.6115,         3.4005,         1.0000,       104.0928,     4
   49.000000,   -79.000000,       259.2855,        36.7260,         7.0600,         1.0000,       259.2855,     2
   37.000000,   -77.000000,     -1055.5850,       264.3623,        -3.9929,        -1.0000,     -1055.5850,     1
   41.000000,   -77.000000,       -79.4570,        70.0701,        -1.1340,         0.0000,         0.0000,     1
   43.000000,   -77.000000,        -1.9850,        74.5289,        -0.0266,         0.0000,         0.0000,     1
   45.000000,   -77.000000,       -10.3231,        16.9210,        -0.6101,         0.0000,         0.0000,     8
   53.000000,   -77.000000,       -55.6570,        78.7134,        -0.7071,         0.0000,         0.0000,     1
   55.000000,   -77.000000,       -76.6577,        15.8503,        -4.8363,        -1.0000,       -76.6577,     3
   57.000000,   -77.000000,        -7.6430,         9.5863,        -0.7973,         0.0000,         0.0000,     1
   41.000000,   -75.000000,       164.0215,        23.6793,         6.9268,         1.0000,       164.0215,     6
   43.000000,   -75.000000,       186.8575,        31.1704,         5.9947,         1.0000,       186.8575,     2
   45.000000,   -75.000000,       211.7895,        24.1919,         8.7546,         1.0000,       211.7895,     4
   47.000000,   -75.000000,       206.8355,        25.2869,         8.1796,         1.0000,       206.8355,     2
   49.000000,   -75.000000,       -71.9710,       106.0364,        -0.6787,         0.0000,         0.0000,     1
   57.000000,   -75.000000,       -14.8570,        20.6495,        -0.7195,         0.0000,         0.0000,     3
   59.000000,   -75.000000,        52.5215,      2499.7566,         0.0210,         0.0000,         0.0000,     4
   41.000000,   -73.000000,        93.4710,        49.1123,         1.9032,         0.0000,         0.0000,     2
   43.000000,   -73.000000,       101.3965,        44.4862,         2.2793,         1.0000,       101.3965,     4
   45.000000,   -73.000000,        63.7348,        16.2754,         3.9160,         1.0000,        63.7348,     9
   47.000000,   -73.000000,       205.6314,        18.1869,        11.3066,         1.0000,       205.6314,     5
   49.000000,   -73.000000,       182.1290,        44.8353,         4.0622,         1.0000,       182.1290,     1
   59.000000,   -73.000000,       155.5140,        25.1207,         6.1907,         1.0000,       155.5140,     1
   41.000000,   -71.000000,       -57.5428,        35.5618,        -1.6181,         0.0000,         0.0000,     4
   43.000000,   -71.000000,       -65.0000,        22.3022,        -2.9145,        -1.0000,       -65.0000,     1
   45.000000,   -71.000000,       193.6001,        21.7002,         8.9216,         1.0000,       193.6001,     8
   47.000000,   -71.000000,       255.0871,        18.5753,        13.7326,         1.0000,       255.0871,    10
   49.000000,   -71.000000,       145.4860,        47.7588,         3.0463,         1.0000,       145.4860,     1
