lat, lon, mtwa_anm_mean, mtwa_se_mean, mtwa_tstat,mtwa_sig, mtwa_sig_val,mtwa_npts
   45.000000,   -93.000000,        -0.4491,         0.2190,        -2.0512,        -1.0000,        -0.4491,    61
   47.000000,   -93.000000,         0.5197,         0.2500,         2.0788,         1.0000,         0.5197,    45
   49.000000,   -93.000000,         0.8375,         0.4912,         1.7051,         0.0000,         0.0000,    13
   51.000000,   -93.000000,         0.9500,         0.3600,         2.6389,         1.0000,         0.9500,     1
   21.000000,   -91.000000,       -20.1000,         1.4162,       -14.1930,        -1.0000,       -20.1000,     2
   37.000000,   -91.000000,         1.5136,         0.6655,         2.2744,         1.0000,         1.5136,     8
   43.000000,   -91.000000,        -0.3214,         0.8070,        -0.3983,         0.0000,         0.0000,     5
   45.000000,   -91.000000,         1.1464,         0.3892,         2.9455,         1.0000,         1.1464,    20
   47.000000,   -91.000000,         1.9880,         0.8084,         2.4593,         1.0000,         1.9880,     5
   49.000000,   -91.000000,         0.5301,         0.4130,         1.2834,         0.0000,         0.0000,    17
   51.000000,   -91.000000,        -1.0988,         0.6882,        -1.5966,         0.0000,         0.0000,     6
   53.000000,   -91.000000,         0.6000,         1.4162,         0.4237,         0.0000,         0.0000,     2
   33.000000,   -89.000000,        -5.1666,         1.1563,        -4.4682,        -1.0000,        -5.1666,     3
   37.000000,   -89.000000,         0.6049,         0.7578,         0.7981,         0.0000,         0.0000,     6
   41.000000,   -89.000000,         1.1519,         0.6765,         1.7027,         0.0000,         0.0000,     6
   43.000000,   -89.000000,         0.4554,         0.2476,         1.8393,         0.0000,         0.0000,    46
   45.000000,   -89.000000,         3.9725,         0.8755,         4.5374,         1.0000,         3.9725,     4
   47.000000,   -89.000000,         0.8233,         0.4758,         1.7303,         0.0000,         0.0000,    12
   49.000000,   -89.000000,         0.7812,         0.4764,         1.6397,         0.0000,         0.0000,    14
   31.000000,   -87.000000,        -0.1943,         0.6740,        -0.2883,         0.0000,         0.0000,     6
   33.000000,   -87.000000,        -0.1700,         0.8034,        -0.2116,         0.0000,         0.0000,     5
   41.000000,   -87.000000,        -0.3501,         0.3713,        -0.9429,         0.0000,         0.0000,    21
   45.000000,   -87.000000,         0.0043,         0.4176,         0.0103,         0.0000,         0.0000,    18
   47.000000,   -87.000000,         1.1988,         0.4178,         2.8696,         1.0000,         1.1988,    18
   49.000000,   -87.000000,         1.3375,         0.8722,         1.5336,         0.0000,         0.0000,     4
   31.000000,   -85.000000,        -0.3750,         0.6814,        -0.5504,         0.0000,         0.0000,     6
   35.000000,   -85.000000,         0.3300,         0.7033,         0.4692,         0.0000,         0.0000,     5
   37.000000,   -85.000000,        -0.2962,         0.5775,        -0.5128,         0.0000,         0.0000,    11
   41.000000,   -85.000000,         0.2542,         0.4539,         0.5601,         0.0000,         0.0000,    14
   43.000000,   -85.000000,         0.5834,         0.4108,         1.4201,         0.0000,         0.0000,    17
   45.000000,   -85.000000,        -1.4297,         0.3882,        -3.6833,        -1.0000,        -1.4297,    18
   47.000000,   -85.000000,         1.4579,         0.2799,         5.2090,         1.0000,         1.4579,    40
   49.000000,   -85.000000,         2.1972,         0.8064,         2.7248,         1.0000,         2.1972,     5
   53.000000,   -85.000000,        -1.9862,         0.6777,        -2.9306,        -1.0000,        -1.9862,     6
   55.000000,   -85.000000,        -0.9880,         0.6851,        -1.4420,         0.0000,         0.0000,     6
   73.000000,   -85.000000,        -2.3000,         1.1563,        -1.9890,         0.0000,         0.0000,     3
   31.000000,   -83.000000,        -0.2664,         0.4359,        -0.6113,         0.0000,         0.0000,    16
   41.000000,   -83.000000,         1.2984,         0.3501,         3.7081,         1.0000,         1.2984,    25
   43.000000,   -83.000000,         0.1526,         0.4649,         0.3283,         0.0000,         0.0000,    15
   27.000000,   -81.000000,        -0.1013,         0.4250,        -0.2384,         0.0000,         0.0000,    15
   29.000000,   -81.000000,        -0.3472,         0.5174,        -0.6710,         0.0000,         0.0000,    11
   35.000000,   -81.000000,         0.1000,         1.1563,         0.0865,         0.0000,         0.0000,     3
   37.000000,   -81.000000,        -3.2750,         0.6641,        -4.9317,        -1.0000,        -3.2750,     8
   39.000000,   -81.000000,         2.2420,         0.8055,         2.7833,         1.0000,         2.2420,     5
   41.000000,   -81.000000,        -0.4837,         0.5123,        -0.9442,         0.0000,         0.0000,    13
   43.000000,   -81.000000,        -0.5960,         0.3376,        -1.7654,         0.0000,         0.0000,    32
   45.000000,   -81.000000,         0.3685,         0.3373,         1.0924,         0.0000,         0.0000,    26
   47.000000,   -81.000000,         0.7094,         0.3342,         2.1227,         1.0000,         0.7094,    27
