lat, lon, mtco_anm_mean, mtco_se_mean, mtco_tstat,mtco_sig, mtco_sig_val,mtco_npts
   49.000000,   -99.000000,        -0.6436,         0.6925,        -0.9294,         0.0000,         0.0000,    10
   51.000000,   -99.000000,         2.8021,         0.6869,         4.0795,         1.0000,         2.8021,     7
   53.000000,   -99.000000,         1.5315,         0.9945,         1.5399,         0.0000,         0.0000,     4
   29.000000,   -97.000000,        -1.6925,         1.3736,        -1.2322,         0.0000,         0.0000,     4
   31.000000,   -97.000000,        -4.3783,         1.0378,        -4.2187,        -1.0000,        -4.3783,     6
   45.000000,   -97.000000,        -0.6694,         0.7144,        -0.9370,         0.0000,         0.0000,     8
   47.000000,   -97.000000,         0.5696,         0.8003,         0.7117,         0.0000,         0.0000,     5
   57.000000,   -97.000000,        14.8900,         2.7472,         5.4201,         1.0000,        14.8900,     1
   35.000000,   -95.000000,       -14.4000,         2.7472,        -5.2417,        -1.0000,       -14.4000,     1
   39.000000,   -95.000000,        -2.6450,         1.5305,        -1.7282,         0.0000,         0.0000,     2
   43.000000,   -95.000000,        -3.8057,         1.0179,        -3.7386,        -1.0000,        -3.8057,     4
   45.000000,   -95.000000,        -2.8000,         2.7472,        -1.0192,         0.0000,         0.0000,     1
   47.000000,   -95.000000,         0.1682,         0.3397,         0.4953,         0.0000,         0.0000,    39
   51.000000,   -95.000000,         1.7033,         1.3025,         1.3077,         0.0000,         0.0000,     3
   73.000000,   -95.000000,         2.5263,         0.9227,         2.7380,         1.0000,         2.5263,     6
   33.000000,   -93.000000,         0.0000,         2.7472,         0.0000,         0.0000,         0.0000,     1
   43.000000,   -93.000000,         3.0878,         0.5516,         5.5984,         1.0000,         3.0878,    18
   45.000000,   -93.000000,        -0.4552,         0.3444,        -1.3218,         0.0000,         0.0000,    37
   47.000000,   -93.000000,         0.3562,         0.3875,         0.9190,         0.0000,         0.0000,    30
   49.000000,   -93.000000,         1.4094,         0.8399,         1.6781,         0.0000,         0.0000,     7
   51.000000,   -93.000000,         4.7000,         0.7300,         6.4384,         1.0000,         4.7000,     1
   37.000000,   -91.000000,         3.2160,         1.2451,         2.5829,         1.0000,         3.2160,     4
   43.000000,   -91.000000,        -1.9577,         1.3341,        -1.4674,         0.0000,         0.0000,     3
   45.000000,   -91.000000,         1.6235,         0.6280,         2.5853,         1.0000,         1.6235,    12
   47.000000,   -91.000000,         1.0100,         1.3968,         0.7231,         0.0000,         0.0000,     3
   49.000000,   -91.000000,         2.9395,         0.6656,         4.4162,         1.0000,         2.9395,    11
   51.000000,   -91.000000,         1.5365,         1.0303,         1.4913,         0.0000,         0.0000,     4
   33.000000,   -89.000000,       -12.1000,         2.7472,        -4.4045,        -1.0000,       -12.1000,     1
   37.000000,   -89.000000,         0.2657,         1.3154,         0.2020,         0.0000,         0.0000,     4
   41.000000,   -89.000000,         4.2272,         1.0147,         4.1661,         1.0000,         4.2272,     4
   43.000000,   -89.000000,        -1.4674,         0.3857,        -3.8046,        -1.0000,        -1.4674,    28
   45.000000,   -89.000000,         9.7650,         1.4834,         6.5830,         1.0000,         9.7650,     2
   47.000000,   -89.000000,         0.3797,         0.7192,         0.5280,         0.0000,         0.0000,     8
   49.000000,   -89.000000,        -0.0149,         0.7768,        -0.0191,         0.0000,         0.0000,     8
   31.000000,   -87.000000,        -3.3265,         1.0393,        -3.2008,        -1.0000,        -3.3265,     4
   33.000000,   -87.000000,        -4.5500,         1.3183,        -3.4514,        -1.0000,        -4.5500,     3
   41.000000,   -87.000000,        -0.1017,         0.5790,        -0.1756,         0.0000,         0.0000,    13
   45.000000,   -87.000000,        -0.5487,         0.6984,        -0.7857,         0.0000,         0.0000,    10
   47.000000,   -87.000000,         0.6309,         0.6917,         0.9121,         0.0000,         0.0000,    10
   49.000000,   -87.000000,        -2.4500,         1.4759,        -1.6600,         0.0000,         0.0000,     2
   31.000000,   -85.000000,        -3.2143,         1.0388,        -3.0943,        -1.0000,        -3.2143,     4
   35.000000,   -85.000000,        -2.8000,         0.9674,        -2.8943,        -1.0000,        -2.8000,     3
   37.000000,   -85.000000,        -0.4489,         0.9774,        -0.4592,         0.0000,         0.0000,     7
   41.000000,   -85.000000,        -0.0556,         0.7164,        -0.0776,         0.0000,         0.0000,     8
   43.000000,   -85.000000,         0.1991,         0.6359,         0.3131,         0.0000,         0.0000,    11
   45.000000,   -85.000000,        -2.6975,         0.6286,        -4.2911,        -1.0000,        -2.6975,    12
   47.000000,   -85.000000,        -0.1528,         0.4554,        -0.3355,         0.0000,         0.0000,    24
