,lat,lon,templ,temp,temph,ACCESS-ESM1-5,AWI-ESM-1-1-LR,CESM2,CNRM-CM6-1,EC-Earth3-LR,FGOALS-f3-L,FGOALS-g3,GISS-E2-1-G,HadGEM3-GC31-LL,INM-CM4-8,IPSL-CM6A-LR,MIROC-ES2L,MPI-ESM1-2-LR,NESM3,NorESM1-F,NorESM2-LM
52,-13.08,121.79,-1.522066315,0.675061579,2.646029646,0.549222946,0.074713826,0.301502436,0.919330597,0.56583941,0.147469684,0.450527906,0.33253625,0.807577908,0.256831676,0.225815579,-0.137623176,0.511710763,0.761635363,0.362205952,0.296839207
53,-46.01,96.47,-0.214645913,1.934682202,4.040434171,0.53341794,0.469931424,0.128018096,1.173209548,0.106408775,-0.293556422,1.039144397,-0.03555844,0.408588648,0.512219846,-0.070503108,0.053234577,0.635096133,1.549399972,0.075312719,-0.020446837
54,16.52,59.53,-2.826196617,-0.69034837,1.713045155,-0.610700727,-0.222419411,-0.655945122,-0.562045872,-0.348471045,-0.882616758,-0.995221078,-0.835494041,0.065582119,-0.141162381,-0.81867516,-0.960406721,0.099320658,-0.345449269,-0.675865531,-0.461280018
55,9.13,90.03,-3.248486694,-1.150498864,0.857426133,-0.771916687,-0.190940067,-0.627881765,0.002275886,-0.269976348,-0.675641,-0.5403018,-0.727371812,-0.078435712,-0.304390639,-0.580598891,-0.753368795,-0.562754393,-0.325347215,-0.98896414,-0.84402591
56,-17.67,117.95,-2.447177587,-0.217274479,1.975579876,0.524486423,0.220089808,0.442743957,0.911627412,0.861962795,0.114865027,0.533767998,0.347258091,0.772027075,0.458818793,0.254270852,-0.095309183,0.610365808,0.813501835,0.451690048,0.446678907
57,-43.82,51.3,-8.696287755,-6.791171548,-4.912038575,-0.405409724,-0.368343443,-0.185990036,0.41641131,-0.482622236,-0.812039256,0.456979424,-0.351765811,-0.166963801,-0.223224595,-0.552877486,-0.581803441,0.032573875,0.102577224,-0.48404032,-0.106858134
58,-1.38,-11.74,-0.543528327,0.963645212,2.603563123,-0.203798428,-0.445673227,-0.468615144,0.193345711,-0.007463707,-0.793201506,-0.405459672,-0.335221916,-0.055518944,-0.04883064,-0.218946978,-0.848749697,-0.404399842,-0.182525933,-0.407016397,-0.196394295
59,-1.67,-12.43,0.151969267,1.862984886,3.678759523,-0.220725492,-0.43814227,-0.470061868,0.184821352,-0.006903635,-0.798612833,-0.407866299,-0.332324266,-0.066055141,-0.057697911,-0.234974921,-0.849617362,-0.404010206,-0.178411022,-0.42513001,-0.188874096
60,-1.67,-12.43,-2.205163429,-0.411636533,1.453513873,-0.220725492,-0.43814227,-0.470061868,0.184821352,-0.006903635,-0.798612833,-0.407866299,-0.332324266,-0.066055141,-0.057697911,-0.234974921,-0.849617362,-0.404010206,-0.178411022,-0.42513001,-0.188874096
61,-5.77,-10.74,-3.384730751,-0.04454499,2.631319285,-0.518571854,-0.429621279,-0.635705054,-0.149999648,-0.413118392,-0.827520072,-0.497507393,-0.470292628,-0.418026239,-0.135858253,-0.608115494,-1.022351027,-0.357948452,-0.153034717,-0.588874519,-0.611616552
62,-5.77,-10.74,-1.330266582,0.372873758,2.245456213,-0.518571854,-0.429621279,-0.635705054,-0.149999648,-0.413118392,-0.827520072,-0.497507393,-0.470292628,-0.418026239,-0.135858253,-0.608115494,-1.022351027,-0.357948452,-0.153034717,-0.588874519,-0.611616552
63,-23.31,12.38,1.051984777,3.247128045,4.740428458,-0.368996888,0.145025507,-0.39237985,0.038063448,-0.436529785,-0.649986088,-0.082861342,-0.416368842,-0.640252233,-0.1701345,-0.734227002,-0.473272622,0.431272477,0.619117856,-0.458637685,-0.775390208
64,-23.43,11.7,1.028234071,3.011647615,4.39780583,-0.429056674,0.081907332,-0.381690234,-0.011838085,-0.446173608,-0.649363518,-0.06952934,-0.444941908,-0.618592143,-0.159389392,-0.747518837,-0.467692584,0.295773536,0.6062904,-0.516504288,-0.762837172
65,-36.32,19.47,4.651398096,6.166693531,7.963742898,-0.360817283,-0.227920994,-0.245587006,0.216636136,-0.144050747,-0.544136167,-0.177329943,-0.270793259,-0.138513252,-0.184980124,-0.628483474,-1.28719461,-0.317445397,0.407705367,-0.479922146,-0.366198033
66,-40.93,9.9,9.878471057,11.50218198,13.52609929,-0.956698418,-0.453318447,-0.183423057,0.299782485,-0.287561595,-0.861444056,-0.196483493,-0.377950668,-0.198129416,-0.158269793,-0.820613921,-0.909060001,-0.340167433,0.348267466,-0.197533146,-0.088907354
67,-42.9,8.97,-2.22427978,1.027840602,4.097537163,-0.731966555,-0.488343745,-0.080588512,0.386880159,-0.211592719,-0.857726336,0.022881638,-0.377536684,-0.122387543,-0.223064527,-0.656850398,-1.065640092,-0.061629642,0.201344982,0.057655118,-0.115274578
68,-0.55,-17.27,-3.782138399,-0.532715257,2.808707736,-0.228514493,-0.43742618,-0.459148169,0.165683895,-0.034420583,-0.80283016,-0.470588148,-0.295573622,0.021408256,-0.079626784,-0.183909059,-0.832557023,-0.35069108,-0.046041705,-0.479588538,-0.159676209
69,-0.55,-17.27,-5.271633507,-3.109187496,-0.80015386,-0.228514493,-0.43742618,-0.459148169,0.165683895,-0.034420583,-0.80283016,-0.470588148,-0.295573622,0.021408256,-0.079626784,-0.183909059,-0.832557023,-0.35069108,-0.046041705,-0.479588538,-0.159676209
70,-1.67,-12.43,-7.149708445,-4.099039361,-1.487265575,-0.220725492,-0.43814227,-0.470061868,0.184821352,-0.006903635,-0.798612833,-0.407866299,-0.332324266,-0.066055141,-0.057697911,-0.234974921,-0.849617362,-0.404010206,-0.178411022,-0.42513001,-0.188874096
71,-2.28,5.18,-4.935802556,-1.541455634,1.096051245,0.431551963,-0.261324704,-0.229818046,-0.054082572,0.067322165,-0.671295345,-0.619715035,-0.51371491,-0.068526007,0.209036201,-0.246376216,-0.786432445,-0.224290654,-0.113269992,-0.222303003,-0.352108508
72,-2.28,5.18,-3.672382707,-0.387671059,1.956934563,0.431551963,-0.261324704,-0.229818046,-0.054082572,0.067322165,-0.671295345,-0.619715035,-0.51371491,-0.068526007,0.209036201,-0.246376216,-0.786432445,-0.224290654,-0.113269992,-0.222303003,-0.352108508
73,-9.51,-34.25,-2.695630584,-0.535499724,1.585840055,-0.652720332,-0.318678737,-0.642026603,-0.08236663,-0.431283563,-0.77096498,-0.56135267,-0.443849325,-0.236734614,-0.120704979,-0.598654628,-0.910064042,-0.289475083,0.04919178,-0.719804406,-0.622597516
74,-9.51,-34.25,-3.74308802,-1.686011322,0.515294853,-0.652720332,-0.318678737,-0.642026603,-0.08236663,-0.431283563,-0.77096498,-0.56135267,-0.443849325,-0.236734614,-0.120704979,-0.598654628,-0.910064042,-0.289475083,0.04919178,-0.719804406,-0.622597516
75,-10.07,-12.82,-1.872787906,0.231184502,2.406230651,-0.463319391,-0.349009156,-0.665140092,-0.045238156,-0.46782741,-0.652212322,-0.387441427,-0.510420322,-0.454474241,-0.013287489,-0.786006331,-0.987876236,-0.340420604,-0.123406641,-0.745557249,-0.606420994
76,-10.07,-12.82,-3.837292627,-0.663472695,2.592450718,-0.463319391,-0.349009156,-0.665140092,-0.045238156,-0.46782741,-0.652212322,-0.387441427,-0.510420322,-0.454474241,-0.013287489,-0.786006331,-0.987876236,-0.340420604,-0.123406641,-0.745557249,-0.606420994
77,-22.33,11.2,-8.174882923,-4.949001639,-0.07056172,-0.43662867,0.053008564,-0.404153973,0.058519941,-0.427400857,-0.693448782,-0.085145041,-0.449555278,-0.628378332,-0.124753967,-0.800195038,-0.42566064,0.368119031,0.546505511,-0.464295745,-0.733700573
78,-22.33,11.2,-2.238319548,0.881973428,4.544666895,-0.43662867,0.053008564,-0.404153973,0.058519941,-0.427400857,-0.693448782,-0.085145041,-0.449555278,-0.628378332,-0.124753967,-0.800195038,-0.42566064,0.368119031,0.546505511,-0.464295745,-0.733700573
79,-22.33,11.2,-0.193714712,2.575030812,5.454365347,-0.43662867,0.053008564,-0.404153973,0.058519941,-0.427400857,-0.693448782,-0.085145041,-0.449555278,-0.628378332,-0.124753967,-0.800195038,-0.42566064,0.368119031,0.546505511,-0.464295745,-0.733700573
80,-25.5,11.3,-3.124676439,-0.344291206,2.014889976,-0.392956108,0.03065443,-0.31564939,0.034201361,-0.42350322,-0.564584434,-0.099675037,-0.42702806,-0.486777395,-0.126288354,-0.646643937,-0.627723515,0.141055211,0.711710632,-0.571448207,-0.773289621
81,-25.5,11.3,-0.021934226,2.414822437,4.809964331,-0.392956108,0.03065443,-0.31564939,0.034201361,-0.42350322,-0.564584434,-0.099675037,-0.42702806,-0.486777395,-0.126288354,-0.646643937,-0.627723515,0.141055211,0.711710632,-0.571448207,-0.773289621
82,-35.78,18.45,-2.59297057,-0.48464347,1.845233545,-0.347911,-0.206720889,-0.226673603,0.204947367,-0.101246752,-0.519995451,-0.154259309,-0.267044783,-0.092428632,0.087737203,-0.599164963,-1.232464433,-0.24303697,0.369377613,-0.462671161,-0.32692036
83,-35.78,18.45,0.530641752,3.674247323,6.960893019,-0.347911,-0.206720889,-0.226673603,0.204947367,-0.101246752,-0.519995451,-0.154259309,-0.267044783,-0.092428632,0.087737203,-0.599164963,-1.232464433,-0.24303697,0.369377613,-0.462671161,-0.32692036
84,-37.27,-10.1,-1.598266603,1.8084386,5.206317434,-0.268202066,-0.437979311,-0.158321515,0.267867714,-0.244580075,-0.643733203,0.041952014,-0.314964801,0.071997263,-0.089079231,-0.360086501,-1.335457921,-0.105699442,0.375089794,-0.69979471,-0.14505963
85,-37.27,-10.1,-0.842351241,2.581872926,5.932428484,-0.268202066,-0.437979311,-0.158321515,0.267867714,-0.244580075,-0.643733203,0.041952014,-0.314964801,0.071997263,-0.089079231,-0.360086501,-1.335457921,-0.105699442,0.375089794,-0.69979471,-0.14505963
