,lat,lon,anom,err
204,37.94,-111.7,-1.3089999999999993,3.0
205,46.57,6.17,0.875396825366667,3.0
206,43.15,-3.43,-0.3673571431,3.0
207,49.48,19.82,-3.3426785717916667,3.0
208,64.12,-110.57,0.20599999999999596,3.0
209,23.0,-95.53,1.4972499999999975,1.4
210,43.4,-88.1,0.3680000000000003,3.0
211,58.6,26.67,5.283000000066667,3.0
212,67.15,-153.65,5.833333333333334,3.0
213,42.73,-109.19,-1.2645000000000017,3.0
214,40.08,-105.54,-0.8594499999999989,3.0
215,46.21,-95.28,-2.452583333333335,3.0
216,58.22,-71.95,-1.6430000000000007,3.0
217,66.17,29.15,-1.8945238096666657,3.0
218,14.321,57.347,0.22500000000000142,1.4
219,46.68,7.98,0.5004567226841181,3.0
220,46.93,-70.93,,3.0
221,45.96,-73.87,-0.45750000000000135,3.0
222,47.27,-1.75,1.0021666666333333,3.0
223,47.27,-2.02,-0.4250793655277776,3.0
224,41.03,-0.22,,3.0
225,46.87,10.48,0.5333333335833328,3.0
226,44.59,-93.41,0.20809523635416483,3.0
227,45.6,-84.32,,3.0
228,52.55,17.36,6.9326984128888895,3.0
229,54.78,-6.26,-0.4361904762430555,3.0
230,41.24,-74.2,0.34464285728750044,3.0
231,46.97,-94.68,0.5812499988749984,3.0
232,42.63,26.77,,3.0
233,54.03,28.1,1.8035714286666664,3.0
234,41.39,-74.2,-0.8548412698499988,3.0
235,66.44,14.05,1.0148888888888887,3.0
236,53.67,8.73,-1.2313392856249996,1.5
237,52.54,17.6,5.8286190476,3.0
238,49.63,21.1,3.188888888777778,3.0
239,-50.0,6.0,-1.9095370370370373,1.5
240,49.7,21.62,2.3411904758333333,3.0
241,32.9,-4.65,0.3894444444444449,3.0
242,45.99,-73.3,-0.30286666666666484,3.0
243,46.0,-73.22,,3.0
244,51.02,3.94,,3.0
245,38.5,43.0,1.801020408257143,3.0
246,50.62,16.2,-6.088571428499999,3.0
247,59.82,6.0,1.7276428573333327,3.0
248,25.7747,-80.5056,,3.0
249,25.7789,-80.5111,,3.0
250,53.44,8.87,-4.0086428571,3.0
251,46.82,7.74,-0.6714285715000001,3.0
252,47.03,11.83,-1.018962585041666,3.0
253,43.33,-95.2,-1.9125396825396805,3.0
254,52.69,0.34,,3.0
255,48.57,8.24,1.3264289564298033,3.0
256,-24.4391,28.7507,0.8049999999999979,3.0
257,53.75,20.2,5.261428571333333,3.0
258,62.13,22.87,3.8192857143999994,3.0
259,49.75,25.45,-1.3374999995000003,3.0
260,49.83,14.33,,3.0
261,68.33,19.1,0.39023333333333277,3.0
