,lat,lon,anom
376,68.5,19.5,0.958416667
377,68.5,-138.5,1.588
378,68.5,-54.5,0.41722222200000003
379,68.5,-106.5,0.7847142859999999
380,69.5,20.5,0.696857143
381,71.5,22.5,0.63
382,71.5,42.5,-0.039914286
383,72.5,-155.5,-0.5589999999999999
384,72.5,-38.5,0.9204803009999999
385,72.5,-157.5,-0.08697619
386,73.5,-120.5,3.1201875
387,73.5,-162.5,0.29624
388,74.5,13.5,0.728157368
389,74.5,13.5,0.582292159
390,75.5,14.5,-1.314666667
391,75.5,-42.5,1.5162181819999998
392,75.5,-82.5,-0.046666667
393,78.5,6.5,-0.536441498
394,78.5,6.5,0.809380952
395,79.5,5.5,1.298272727
396,81.5,-63.5,-0.40550173100000003
