,lat,lon,anom,err
192,36.88,28.64,,2.0
193,34.0,97.2,0.40189833333333613,2.0
194,68.35,-154.61,-1.1592989729225023,2.1
195,69.6285,123.6481,2.1748166666666684,2.0
196,57.92,-75.62,-0.06666666666666643,2.0
197,58.9383,-20.4083,0.07131517094016893,1.1
198,58.58,-75.25,2.3665000000000003,2.0
199,58.583,-75.25,-0.14250000000000007,2.0
200,58.58,-75.25,-0.11775000000000091,2.0
201,49.3757,152.8779,,1.5
202,50.42,-74.2297,0.6513703703703726,1.4
203,46.72,-70.3,1.0455000000000005,2.0
204,58.87,-71.72,,2.0
205,52.25,-67.07,-1.1712500000000006,2.0
206,49.21,-65.81,6.6392500000000005,2.0
207,56.78,-64.83,0.8202666666666669,2.0
208,65.22,-126.12,0.18679999999999986,2.0
209,56.67,-64.68,-0.30771428571428583,2.0
210,50.55,-66.27,2.1834999999999987,2.0
211,47.7167,-70.6667,-0.07467499999999738,1.4
212,41.42,-84.75,0.20102380952380372,2.0
213,-41.0583,-71.5167,,2.0
214,44.36,10.12,1.3227083333333347,1.4
215,43.05,-6.15,0.6291964287499994,2.0
216,41.23,-0.17,-3.9445170043333384,2.0
217,68.26,65.8,0.8516500000000011,1.4
218,48.7833,-123.4445,-0.45111111111111113,1.4
219,49.05,-120.1833,0.7275666666666645,1.4
220,69.0,25.0,-0.0672100000000011,2.1
221,48.44,-0.19,1.8197619083333336,2.0
222,45.47,5.42,0.18269841222222638,2.0
223,52.56,17.39,1.9827891146428591,2.0
224,52.56,17.39,3.3627346941428584,2.0
225,59.1099,163.1524,0.0186517777777766,1.4
226,59.22,27.58,0.9707142850000015,2.0
227,68.52,14.87,0.40080000000000027,2.0
228,59.2,-135.4,0.0,2.0
229,48.93,-1.54,,2.0
230,44.17,-123.58,-0.11799999999999855,2.0
231,47.29,-93.6,1.0953333333333326,2.0
232,58.13,-6.88,0.1732857139999986,2.0
233,42.68,-72.19,0.8764081630857099,2.0
234,66.52,59.3,0.8378333333333323,2.0
235,47.03,7.3,-1.1794603161111112,2.0
236,56.96,-3.2296,-0.30622222222222106,1.4
237,56.72,-119.72,-1.4523333333333355,2.0
238,45.03,-68.2,0.514400000000002,2.0
239,46.72,-87.97,1.388333333333339,2.0
240,54.7282,-8.6794,,1.4
241,52.95,-131.76,0.04186666666666561,2.0
242,43.73,40.69,3.228095233333333,2.0
243,68.26,65.8,0.8516500000000011,2.0
244,56.84,-101.04,-1.3434761904761903,2.0
245,12.0897,-61.2437,0.12199999999999989,1.4
246,-18.2412,37.8685,0.01666666666666572,1.5
247,51.268,167.725,,1.3
248,39.0558,-12.624,,1.3
249,-34.71,17.338,-2.5620499999999993,1.9
250,-50.52,-74.97,0.6646666666666654,1.5
251,-20.4,36.3,,1.3
252,-43.8217,51.3183,-0.36666666666666714,1.1
253,47.452,-8.5338,,1.7
254,66.9697,7.6393,-0.32666666666666977,1.5
255,66.9697,7.6393,-1.1282041245791259,1.5
256,14.82,123.49,0.27333333333333343,1.9
257,58.2107,-48.373,-0.03924999999999912,1.7
258,66.85,-20.85,0.5486885714285723,1.1
259,67.1363,-30.8278,0.758,1.3
260,68.27,-133.47,0.8867857142857147,2.0
261,46.32,152.53,-0.45699721719999786,1.5
262,78.916,6.767,0.6719999999999997,1.7
263,68.4719,-54.002,0.5655555555555534,1.7
