,lat,lon,anom
330,72.5,-157.5,0.257777778
331,73.5,102.5,-1.4974666669999999
332,73.5,124.5,3.27
333,73.5,-120.5,1.1058125
334,73.5,-162.5,0.967983333
335,75.5,14.5,-1.345166667
336,75.5,-111.5,0.4881
337,75.5,-82.5,-0.729666667
338,76.5,-68.5,3.47875
339,76.5,-67.5,2.3956
340,76.5,15.5,2.253666667
341,78.5,6.5,0.672
342,79.5,11.5,1.305828571
